AtomicNumber,Symbol,Name,AtomicMass,AtomicRadius,MeltingPoint,BoilingPoint,Electronegativity,Density
1,H,Hydrogen,1.008,53,14.01,20.28,2.20,0.0000899
2,He,Helium,4.0026,31,,4.22,,0.0001785
3,Li,Lithium,6.94,167,453.65,1603,0.98,0.534
4,Be,Beryllium,9.0122,1128,1560,2742,1.57,1.85
5,B,Boron,10.81,87,2349,4200,2.04,2.34
6,C,Carbon,12.011,67,3823,4098,2.55,2.26
7,N,Nitrogen,14.007,56,63.15,77.36,3.04,0.0012506
8,O,Oxygen,15.999,48,54.36,90.20,3.44,0.001429
9,F,Fluorine,18.998,42,53.53,85.03,3.98,0.001696
10,Ne,Neon,20.180,38,24.56,27.07,,0.0008999
11,Na,Sodium,22.990,190,370.87,1156,0.93,0.971
12,Mg,Magnesium,24.305,145,923,1363,1.31,1.738
13,Al,Aluminium,26.982,118,933.47,2792,1.61,2.70
14,Si,Silicon,28.085,111,1687,3538,1.90,2.33
15,P,Phosphorus,30.974,98,317.3,553.7,2.19,1.82
16,S,Sulfur,32.06,88,388.36,717.8,2.58,2.07
17,Cl,Chlorine,35.45,79,171.6,239.1,3.16,0.003214
18,Ar,Argon,39.948,71,83.81,87.30,,0.001784
19,K,Potassium,39.098,243,336.53,1032,0.82,0.862
20,Ca,Calcium,40.078,194,1115,1757,1.00,1.55
21,Sc,Scandium,44.956,184,1814,3109,1.36,2.99
22,Ti,Titanium,47.867,176,1941,3560,1.54,4.54
23,V,Vanadium,50.942,171,2183,3680,1.63,6.11
24,Cr,Chromium,51.996,166,2180,2944,1.66,7.19
25,Mn,Manganese,54.938,161,1519,2334,1.55,7.44
26,Fe,Iron,55.845,156,1811,3134,1.83,7.87
27,Co,Cobalt,58.933,152,1768,3200,1.88,8.90
28,Ni,Nickel,58.693,149,1728,3186,1.91,8.90
29,Cu,Copper,63.546,145,1357.77,2835,1.90,8.96
30,Zn,Zinc,65.38,142,692.68,1180,1.65,7.14
31,Ga,Gallium,69.723,136,302.91,2477,1.81,5.91
32,Ge,Germanium,72.630,125,1211.40,3106,2.01,5.32
33,As,Arsenic,74.922,114,1090,887,2.18,5.72
34,Se,Selenium,78.971,103,494,958,2.55,4.81
35,Br,Bromine,79.904,94,265.8,332,2.96,3.12
36,Kr,Krypton,83.798,88,115.79,119.93,3.00,0.00373
37,Rb,Rubidium,85.468,265,312.46,961,0.82,1.53
38,Sr,Strontium,87.62,215,1050,1655,0.95,2.64
39,Y,Yttrium,88.906,180,1799,3203,1.22,4.47
40,Zr,Zirconium,91.224,160,2128,4682,1.33,6.52
41,Nb,Niobium,92.906,146,2750,5017,1.6,8.57
42,Mo,Molybdenum,95.95,154,2896,4912,2.16,10.28
43,Tc,Technetium,98,147,2430,4538,,11.5
44,Ru,Ruthenium,101.07,134,2607,4423,2.2,12.45
45,Rh,Rhodium,102.91,134,2237,3968,2.28,12.41
46,Pd,Palladium,106.42,137,1828,3236,2.20,12.02
47,Ag,Silver,107.87,144,1234.93,2435,1.93,10.49
48,Cd,Cadmium,112.41,151,594.22,1040,1.69,8.65
49,In,Indium,114.82,144,429.75,2345,1.78,7.31
50,Sn,Tin,118.71,140,505.08,2875,1.96,7.31
51,Sb,Antimony,121.76,133,903.78,1860,2.05,6.68
52,Te,Tellurium,127.60,123,722.66,1261,2.10,6.24
53,I,Iodine,126.90,115,386.85,457.4,2.66,4.93
54,Xe,Xenon,131.29,108,161.36,165.03,2.60,0.0059
55,Cs,Cesium,132.91,298,301.59,944,0.79,1.93
56,Ba,Barium,137.33,222,1000,2170,0.89,3.62
57,La,Lanthanum,138.91,195,1193,3737,1.10,6.15
58,Ce,Cerium,140.12,185,1068,3716,1.12,6.77
59,Pr,Praseodymium,140.91,185,1208,3793,1.13,6.77
60,Nd,Neodymium,144.24,181,1297,3347,1.14,7.01
61,Pm,Promethium,145,183,1315,3273,,7.26
62,Sm,Samarium,150.36,180,1345,2067,1.17,7.52
63,Eu,Europium,151.96,180,1095,1802,1.2,5.24
64,Gd,Gadolinium,157.25,180,1585,3273,1.20,7.90
65,Tb,Terbium,158.93,177,1629,3503,1.2,8.23
66,Dy,Dysprosium,162.50,178,1680,2840,1.22,8.55
67,Ho,Holmium,164.93,176,1734,2993,1.23,8.79
68,Er,Erbium,167.26,176,1802,3141,1.24,9.07
69,Tm,Thulium,168.93,176,1818,2223,1.25,9.32
70,Yb,Ytterbium,173.05,173,1097,1469,1.1,6.90
71,Lu,Lutetium,174.97,174,1925,3675,1.27,9.84
72,Hf,Hafnium,178.49,159,2506,4876,1.3,13.31
73,Ta,Tantalum,180.95,146,3290,5731,1.5,16.69
74,W,Tungsten,183.84,139,3695,5828,2.36,19.25
75,Re,Rhenium,186.21,137,3459,5903,1.9,21.02
76,Os,Osmium,190.23,135,3306,5285,2.2,22.59
77,Ir,Iridium,192.22,136,2719,4701,2.20,22.56
78,Pt,Platinum,195.08,139,2041,4098,2.28,21.45
79,Au,Gold,196.97,144,1337.33,3129,2.54,19.32
80,Hg,Mercury,200.59,150,234.32,629.88,2.00,13.53
81,Tl,Thallium,204.38,170,577,1746,1.62,11.85
82,Pb,Lead,207.2,175,600.61,2022,2.33,11.34
83,Bi,Bismuth,208.98,170,544.7,1837,2.02,9.78
84,Po,Polonium,209,190,527,1235,,9.32
85,At,Astatine,210,150,575,610,2.2,7
86,Rn,Radon,222,120,202,211,,9.73
87,Fr,Francium,223,348,300,950,,1.87
88,Ra,Radium,226,221,973,2010,,5.5
89,Ac,Actinium,227,195,1323,3473,,10.07
90,Th,Thorium,232.04,180,2023,5061,1.3,11.72
91,Pa,Protactinium,231.04,180,1841,4273,1.5,15.37
92,U,Uranium,238.03,175,1405,4404,1.38,18.95
93,Np,Neptunium,237,175,913,4273,,20.45
94,Pu,Plutonium,244,175,913,3505,,19.84
95,Am,Americium,243,175,1449,2880,,13.67
96,Cm,Curium,247,173,1618,3383,,13.51
97,Bk,Berkelium,247,168,1259,2900,,14.78
98,Cf,Californium,251,174,1173,1743,,15.1
99,Es,Einsteinium,252,unknown,1133,1269,,8.84
100,Fm,Fermium,257,unknown,1800,unknown,,9.7
101,Md,Mendelevium,258,unknown,1100,unknown,,10.3
102,No,Nobelium,259,unknown,1100,unknown,,9.9
103,Lr,Lawrencium,262,unknown,unknown,unknown,,15.6
104,Rf,Rutherfordium,267,unknown,unknown,unknown,,unknown
105,Db,Dubnium,268,unknown,unknown,unknown,,unknown
106,Sg,Seaborgium,271,unknown,unknown,unknown,,unknown
107,Bh,Bohrium,272,unknown,unknown,unknown,,unknown
108,Hs,Hassium,270,unknown,unknown,unknown,,unknown
109,Mt,Meitnerium,276,unknown,unknown,unknown,,unknown
110,Ds,Darmstadtium,281,unknown,unknown,unknown,,unknown
